state,state_name,state_fips,county_fips,county_geoid,county_name,county_display,county_slug,county_key
GA,Georgia,13,207,13207,Monroe,Monroe County,monroe,ga-monroe
GA,Georgia,13,209,13209,Montgomery,Montgomery County,montgomery,ga-montgomery
GA,Georgia,13,211,13211,Morgan,Morgan County,morgan,ga-morgan
GA,Georgia,13,213,13213,Murray,Murray County,murray,ga-murray
GA,Georgia,13,215,13215,Muscogee,Muscogee County,muscogee,ga-muscogee
GA,Georgia,13,217,13217,Newton,Newton County,newton,ga-newton
GA,Georgia,13,219,13219,Oconee,Oconee County,oconee,ga-oconee
GA,Georgia,13,221,13221,Oglethorpe,Oglethorpe County,oglethorpe,ga-oglethorpe
GA,Georgia,13,223,13223,Paulding,Paulding County,paulding,ga-paulding
GA,Georgia,13,225,13225,Peach,Peach County,peach,ga-peach
GA,Georgia,13,227,13227,Pickens,Pickens County,pickens,ga-pickens
GA,Georgia,13,229,13229,Pierce,Pierce County,pierce,ga-pierce
GA,Georgia,13,231,13231,Pike,Pike County,pike,ga-pike
GA,Georgia,13,233,13233,Polk,Polk County,polk,ga-polk
GA,Georgia,13,235,13235,Pulaski,Pulaski County,pulaski,ga-pulaski
GA,Georgia,13,237,13237,Putnam,Putnam County,putnam,ga-putnam
GA,Georgia,13,239,13239,Quitman,Quitman County,quitman,ga-quitman
GA,Georgia,13,241,13241,Rabun,Rabun County,rabun,ga-rabun
GA,Georgia,13,243,13243,Randolph,Randolph County,randolph,ga-randolph
GA,Georgia,13,245,13245,Richmond,Richmond County,richmond,ga-richmond
GA,Georgia,13,247,13247,Rockdale,Rockdale County,rockdale,ga-rockdale
GA,Georgia,13,249,13249,Schley,Schley County,schley,ga-schley
GA,Georgia,13,251,13251,Screven,Screven County,screven,ga-screven
GA,Georgia,13,253,13253,Seminole,Seminole County,seminole,ga-seminole
GA,Georgia,13,255,13255,Spalding,Spalding County,spalding,ga-spalding
GA,Georgia,13,257,13257,Stephens,Stephens County,stephens,ga-stephens
GA,Georgia,13,259,13259,Stewart,Stewart County,stewart,ga-stewart
GA,Georgia,13,261,13261,Sumter,Sumter County,sumter,ga-sumter
GA,Georgia,13,263,13263,Talbot,Talbot County,talbot,ga-talbot
GA,Georgia,13,265,13265,Taliaferro,Taliaferro County,taliaferro,ga-taliaferro
GA,Georgia,13,267,13267,Tattnall,Tattnall County,tattnall,ga-tattnall
GA,Georgia,13,269,13269,Taylor,Taylor County,taylor,ga-taylor
GA,Georgia,13,271,13271,Telfair,Telfair County,telfair,ga-telfair
GA,Georgia,13,273,13273,Terrell,Terrell County,terrell,ga-terrell
GA,Georgia,13,275,13275,Thomas,Thomas County,thomas,ga-thomas
GA,Georgia,13,277,13277,Tift,Tift County,tift,ga-tift
GA,Georgia,13,279,13279,Toombs,Toombs County,toombs,ga-toombs
GA,Georgia,13,281,13281,Towns,Towns County,towns,ga-towns
GA,Georgia,13,283,13283,Treutlen,Treutlen County,treutlen,ga-treutlen
GA,Georgia,13,285,13285,Troup,Troup County,troup,ga-troup
GA,Georgia,13,287,13287,Turner,Turner County,turner,ga-turner
GA,Georgia,13,289,13289,Twiggs,Twiggs County,twiggs,ga-twiggs
GA,Georgia,13,291,13291,Union,Union County,union,ga-union
GA,Georgia,13,293,13293,Upson,Upson County,upson,ga-upson
GA,Georgia,13,295,13295,Walker,Walker County,walker,ga-walker
GA,Georgia,13,297,13297,Walton,Walton County,walton,ga-walton
GA,Georgia,13,299,13299,Ware,Ware County,ware,ga-ware
GA,Georgia,13,301,13301,Warren,Warren County,warren,ga-warren
GA,Georgia,13,303,13303,Washington,Washington County,washington,ga-washington
GA,Georgia,13,305,13305,Wayne,Wayne County,wayne,ga-wayne
GA,Georgia,13,307,13307,Webster,Webster County,webster,ga-webster
GA,Georgia,13,309,13309,Wheeler,Wheeler County,wheeler,ga-wheeler
GA,Georgia,13,311,13311,White,White County,white,ga-white
GA,Georgia,13,313,13313,Whitfield,Whitfield County,whitfield,ga-whitfield
GA,Georgia,13,315,13315,Wilcox,Wilcox County,wilcox,ga-wilcox
GA,Georgia,13,317,13317,Wilkes,Wilkes County,wilkes,ga-wilkes
GA,Georgia,13,319,13319,Wilkinson,Wilkinson County,wilkinson,ga-wilkinson
GA,Georgia,13,321,13321,Worth,Worth County,worth,ga-worth
